iter	Passed	Remaining
443	1190	14903
444	1193	14893
445	1194	14879
446	1196	14866
447	1198	14858
448	1202	14864
449	1204	14852
450	1206	14840
451	1208	14829
452	1210	14821
453	1212	14810
454	1214	14799
455	1216	14789
456	1219	14791
457	1221	14785
458	1223	14773
459	1225	14763
460	1227	14752
461	1230	14744
462	1232	14741
463	1234	14730
464	1238	14746
465	1241	14739
466	1243	14728
467	1244	14715
468	1246	14703
469	1248	14694
470	1251	14687
471	1253	14681
472	1257	14690
473	1259	14680
474	1262	14679
475	1264	14669
476	1266	14659
477	1268	14648
478	1269	14636
479	1271	14624
480	1275	14636
481	1277	14626
482	1279	14615
483	1281	14605
484	1283	14594
485	1285	14584
486	1287	14573
487	1289	14562
488	1292	14570
489	1294	14561
490	1297	14553
491	1298	14539
492	1300	14531
493	1302	14519
494	1304	14509
495	1306	14502
496	1310	14508
497	1312	14499
498	1314	14490
499	1316	14479
500	1318	14468
501	1320	14466
502	1322	14455
503	1324	14445
504	1328	14450
505	1330	14440
506	1332	14439
507	1335	14432
508	1337	14425
509	1339	14414
510	1340	14403
511	1342	14393
512	1346	14400
513	1348	14391
514	1350	14381
515	1352	14371
516	1354	14366
517	1356	14359
518	1359	14354
519	1361	14351
520	1365	14359
521	1367	14350
522	1369	14342
523	1371	14332
524	1373	14323
525	1375	14316
526	1377	14308
527	1379	14298
528	1383	14303
529	1385	14295
530	1387	14285
531	1389	14280
532	1391	14275
533	1394	14269
534	1395	14259
535	1397	14250
536	1401	14257
537	1403	14252
538	1406	14247
539	1408	14240
540	1410	14234
541	1412	14226
542	1415	14220
543	1417	14214
544	1420	14221
545	1423	14215
546	1425	14205
547	1427	14203
548	1429	14195
549	1431	14186
550	1433	14177
551	1435	14169
552	1438	14173
553	1441	14166
554	1443	14159
555	1445	14150
556	1447	14140
557	1448	14131
558	1450	14123
559	1453	14116
560	1456	14124
561	1459	14122
562	1461	14114
563	1463	14106
564	1465	14100
565	1467	14093
566	1469	14084
567	1471	14076
568	1475	14082
569	1477	14079
570	1480	14073
571	1482	14067
572	1484	14060
573	1486	14053
574	1488	14045
575	1490	14039
576	1494	14044
577	1496	14035
578	1498	14030
579	1500	14023
580	1502	14015
581	1504	14008
582	1506	14002
583	1509	13995
584	1512	14000
585	1514	13993
586	1516	13985
587	1518	13978
588	1520	13969
589	1522	13960
590	1524	13952
591	1526	13942
592	1530	13951
593	1532	13945
594	1534	13937
595	1536	13929
596	1538	13923
597	1540	13917
598	1542	13909
599	1544	13902
600	1548	13909
601	1550	13904
602	1552	13896
603	1555	13892
604	1557	13888
605	1559	13880
606	1561	13872
607	1563	13864
608	1567	13873
609	1569	13865
610	1571	13857
611	1573	13851
612	1575	13844
613	1577	13837
614	1580	13838
615	1582	13833
616	1586	13838
617	1588	13831
618	1590	13824
619	1592	13818
620	1594	13811
621	1596	13804
622	1598	13796
623	1600	13788
624	1604	13798
625	1606	13792
626	1608	13785
627	1610	13779
628	1612	13772
629	1614	13764
630	1616	13758
631	1618	13750
632	1622	13758
633	1625	13754
634	1627	13747
635	1629	13739
636	1631	13731
637	1633	13725
638	1635	13718
639	1636	13709
640	1640	13716
641	1642	13709
642	1644	13702
643	1646	13694
644	1648	13688
645	1650	13681
646	1653	13676
647	1655	13673
648	1658	13672
649	1660	13664
650	1662	13657
651	1664	13651
652	1666	13643
653	1668	13637
654	1670	13629
655	1672	13622
656	1675	13627
657	1678	13625
658	1680	13619
659	1682	13614
