iter	RMSE
256	0.3494525169
257	0.3491101949
258	0.3487530098
259	0.3484542774
260	0.3481188881
261	0.3477015895
262	0.3474234445
263	0.3469403458
264	0.3465882367
265	0.346134857
266	0.3455464271
267	0.3452266254
268	0.3448295923
269	0.3447455566
270	0.3443640032
271	0.3439746897
272	0.343737693
273	0.3434025198
274	0.3428344156
275	0.3423632529
276	0.3419222617
277	0.3415685601
278	0.3410891116
279	0.3406905479
280	0.3402831863
281	0.3395956421
282	0.3392239702
283	0.3389262128
284	0.338612596
285	0.3382926557
286	0.3379249905
287	0.3375756633
288	0.3371542923
289	0.3367051615
290	0.336487917
291	0.3362760735
292	0.3358496594
293	0.335597829
294	0.3351927826
295	0.3349247278
296	0.3346134916
297	0.334187103
298	0.3338447984
299	0.3335251746
300	0.3332718263
301	0.332856065
302	0.3325461713
303	0.3322636909
304	0.3320452254
305	0.3315507496
306	0.3311833352
307	0.330863572
308	0.3306126124
309	0.3302234376
310	0.3299098239
311	0.3293815721
312	0.3289632061
313	0.3285092132
314	0.3282664522
315	0.3280753876
316	0.3276856345
317	0.3273878267
318	0.3271870903
319	0.3267128116
320	0.3264585503
321	0.3261257356
322	0.3258953819
323	0.325581783
324	0.3253708886
325	0.3251175148
326	0.324904756
327	0.3244432036
328	0.3241773286
329	0.3235794002
330	0.323152584
331	0.3228351424
332	0.3225423916
333	0.322290618
334	0.3218443176
335	0.321428793
336	0.3212431191
337	0.32092436
338	0.3205395938
339	0.320274842
340	0.3198950419
341	0.3196700527
342	0.3194930318
343	0.3193035076
344	0.319139073
345	0.3189141814
346	0.3186397734
347	0.3183889529
348	0.3179350916
349	0.3177085963
350	0.3173398212
351	0.3171676691
352	0.3168278549
353	0.316568273
354	0.3162052905
355	0.3157680681
356	0.3154410599
357	0.3151157223
358	0.3147467932
359	0.3143949459
360	0.3141558589
361	0.3140036664
362	0.3137637767
363	0.3135199018
364	0.3133141916
365	0.3130379712
366	0.3128569948
367	0.3124921915
368	0.312123951
369	0.3118658903
370	0.3116713592
371	0.3112703799
372	0.3110415549
373	0.3108783514
374	0.3106231757
375	0.3104275517
376	0.3101875074
377	0.3099186346
378	0.3096428111
379	0.3093349279
380	0.309007294
381	0.3086437052
382	0.3083142553
383	0.3078748368
384	0.3075685752
385	0.3072679007
386	0.3070427097
387	0.3068573436
388	0.3065221711
389	0.3062456044
390	0.3059485267
391	0.3056539849
392	0.3052953759
393	0.3050212293
394	0.3047364725
395	0.3045350082
396	0.3043821478
397	0.3039731005
398	0.303690013
399	0.3035642154
400	0.3033423601
401	0.3030397528
402	0.3028073927
403	0.3025015695
404	0.3021747659
405	0.3019196391
406	0.3015996125
407	0.3012701415
408	0.3009891022
409	0.3007133612
410	0.3005213736
411	0.3002841593
412	0.299993635
413	0.2997387788
414	0.2994942325
415	0.2990891739
416	0.2987885827
417	0.2984414376
418	0.2981676829
419	0.2978519466
420	0.2974448858
421	0.2972410048
422	0.2969480395
423	0.2967883742
424	0.2965531582
425	0.2962596088
426	0.2959987341
427	0.2956974737
428	0.2954093739
429	0.2951012617
430	0.2948876591
431	0.2946194525
432	0.2942514412
433	0.2938245076
434	0.2935089537
435	0.2930945787
436	0.2928553162
437	0.29240268
438	0.2923396069
439	0.2920880544
440	0.291810074
441	0.2915308158
442	0.2913171776
443	0.2909413508
444	0.2906102607
445	0.2904672646
446	0.2901930031
447	0.289875738
448	0.2895417642
449	0.2892099217
450	0.2890423774
451	0.2886247855
452	0.2883609297
453	0.2880660004
454	0.2877706349
455	0.2874192706
456	0.287107372
457	0.2867694054
458	0.2864960817
459	0.2862664114
460	0.2859240799
461	0.2857706431
462	0.2856614854
463	0.2853857814
464	0.285136972
465	0.2849813026
466	0.284769517
467	0.2846523807
468	0.2842933151
469	0.2840250648
470	0.2837404844
471	0.2836852468
472	0.2835330133
473	0.2832891865
474	0.2830090989
475	0.2826863409
476	0.2823625008
477	0.2822496395
478	0.2819712305
479	0.2818150705
480	0.2815663895
481	0.2812409592
482	0.2810513815
483	0.280833694
484	0.2806096368
485	0.2802687978
486	0.2800519261
487	0.2798373172
488	0.279610681
489	0.2793963086
490	0.2791177838
491	0.2788495727
492	0.2786523035
493	0.2785166715
494	0.278390789
495	0.2779775416
496	0.2777456487
497	0.2773361316
498	0.2770669676
499	0.2768350695
500	0.2765533614
501	0.2763540311
502	0.2762721441
503	0.2759251085
504	0.2755337447
505	0.2752687622
506	0.2750587682
507	0.274805431
508	0.274741229
509	0.2745075512
510	0.2744606868
511	0.2741327855
512	0.27369193
513	0.2733531662
514	0.2731080258
515	0.2727890638
516	0.2726321205
517	0.2724354584
518	0.2722971277
519	0.2722274168
520	0.2719721546
521	0.2716120874
522	0.2713669556
523	0.2711572522
524	0.2708317112
525	0.2705702489
526	0.2702201909
527	0.2699562165
528	0.2695754123
529	0.2695202657
530	0.2692793477
531	0.269003666
532	0.2688020618
533	0.2685294082
534	0.2682577668
535	0.2680167301
536	0.2677856612
537	0.2675837817
538	0.2673036583
539	0.2670764196
540	0.2666770443
541	0.2664353343
542	0.2660859046
543	0.2657496236
544	0.2657056915
545	0.2654212617
546	0.265367556
547	0.2650335121
548	0.2647043886
549	0.2644944368
550	0.2643349264
551	0.2641830453
552	0.2641033474
553	0.2639280566
554	0.263538825
555	0.2632523482
556	0.2630432313
557	0.2629868339
558	0.2627382388
559	0.2626088852
560	0.2624427039
561	0.2623070647
562	0.2620947815
563	0.2619011
564	0.2616387244
565	0.2614121574
566	0.2612641487
567	0.2610044306
568	0.2606616954
569	0.2604799919
570	0.2603098595
571	0.259976198
572	0.2598148921
573	0.2596380291
574	0.2593946794
575	0.2592695527
576	0.2590503797
577	0.2588201897
578	0.2585123922
579	0.2584693611
580	0.258256389
581	0.2579015672
582	0.2575997607
583	0.2572840184
584	0.2570776659
585	0.2567782328
586	0.2565252612
587	0.2562368782
588	0.2559260359
589	0.2557865311
590	0.2557050841
591	0.2556091695
592	0.255436242
593	0.2551522667
594	0.255061915
595	0.2548358815
596	0.2546982091
597	0.2543530367
598	0.254165464
599	0.2539792577
600	0.2536560744
601	0.2532756656
602	0.2529918549
603	0.252726832
604	0.2524469522
605	0.2523734421
606	0.2522827488
607	0.2520636592
608	0.2518805976
609	0.2517030178
610	0.2515048705
611	0.2512160077
612	0.2510100597
613	0.2507906956
614	0.2506775295
615	0.2504159897
616	0.2501308993
617	0.2499075301
618	0.2497398627
619	0.2494407065
620	0.2490990384
621	0.2487154763
622	0.2486047079
623	0.2485241669
624	0.2482404644
625	0.2480363512
626	0.2477464545
627	0.247543828
628	0.2472453397
629	0.2470340962
630	0.2467698262
631	0.2465416389
632	0.2463547088
633	0.2461092697
634	0.2458436008
635	0.2455762746
636	0.2453225999
637	0.2451834505
638	0.2449831321
639	0.244733168
640	0.2445195993
641	0.244291582
642	0.2440951659
643	0.243877063
644	0.2436370929
645	0.2434252357
646	0.2431657808
647	0.2429272348
648	0.2426800438
649	0.2424585324
650	0.2421997314
651	0.2419190878
652	0.2417511589
653	0.241481837
654	0.2413045043
655	0.241179556
656	0.2409803478
657	0.2408190447
658	0.2405342032
659	0.2402257266
