iter	RMSE
0	0.8879019811
1	0.877996599
2	0.8672223618
3	0.858639316
4	0.8477608649
5	0.8385656185
6	0.8290282397
7	0.8187674875
8	0.8099194428
9	0.8016314457
10	0.7926821115
11	0.7836380391
12	0.7745666061
13	0.7659557542
14	0.7581782017
15	0.7507514627
16	0.7431427708
17	0.735697136
18	0.7280469309
19	0.7210347467
20	0.7136385087
21	0.7070789035
22	0.7005980712
23	0.6945944071
24	0.6889614088
25	0.6829595005
26	0.6779255404
27	0.673046111
28	0.6672172427
29	0.6612516804
30	0.6564070136
31	0.6509205005
32	0.6462295107
33	0.6415715005
34	0.6364961065
35	0.6320678486
36	0.6277206944
37	0.6233427408
38	0.6188403186
39	0.6141918019
40	0.6104092377
41	0.6056855191
42	0.6016854517
43	0.59733095
44	0.5935877717
45	0.589454558
46	0.5851560571
47	0.5817468515
48	0.5783986603
49	0.5752381603
50	0.5714749692
51	0.568284226
52	0.5654894019
53	0.5621287586
54	0.5589878939
55	0.5559578993
56	0.5526377449
57	0.5494319803
58	0.54667006
59	0.5433735443
60	0.5399855844
61	0.5377436708
62	0.5351423387
63	0.5324794129
64	0.5298837288
65	0.527647899
66	0.5252207108
67	0.5226051068
68	0.5204062976
69	0.5178966391
70	0.5161098752
71	0.5139007637
72	0.5117753281
73	0.5102240632
74	0.5079306571
75	0.5057290238
76	0.5038351785
77	0.5019125851
78	0.5001157374
79	0.4977546626
80	0.4957188167
81	0.4936803032
82	0.4917364734
83	0.489837874
84	0.4878442616
85	0.4860160362
86	0.484438788
87	0.4828822561
88	0.4813809634
89	0.4792851471
90	0.4777365558
91	0.4762230749
92	0.474586224
93	0.472637082
94	0.4711765277
95	0.4695444637
96	0.467971611
97	0.4663061109
98	0.4648169673
99	0.4631018431
100	0.4615861641
101	0.4599203112
102	0.4579974992
103	0.4565156082
104	0.4554577873
105	0.4547832018
106	0.4531349107
107	0.451914871
108	0.4509147875
109	0.4499672264
110	0.4484201876
111	0.4471196469
112	0.4457049179
113	0.4448747796
114	0.4439017641
115	0.4425498177
116	0.4411167533
117	0.4400365322
118	0.439108851
119	0.4375243374
120	0.436322749
121	0.4353982028
122	0.4345474393
123	0.4334984472
124	0.4328129715
125	0.4319215025
126	0.4307981426
127	0.4295711129
128	0.428487286
129	0.4274207789
130	0.4262961082
131	0.4251451706
132	0.4242653503
133	0.4229832324
134	0.4218052556
135	0.4212404903
136	0.4201347786
137	0.4191701471
138	0.4182124235
139	0.4173030397
140	0.4165196165
141	0.4159120831
142	0.4148669748
143	0.4139639444
144	0.4130093601
145	0.4123585214
146	0.411848145
147	0.4111472413
148	0.4103694449
149	0.4096792406
150	0.4091482634
151	0.408365945
152	0.4076361609
153	0.4068351643
154	0.4055932407
155	0.4048690166
156	0.4039773781
157	0.4032461438
158	0.4027259734
159	0.4021419947
160	0.4011495288
161	0.4004153381
162	0.3997648656
163	0.3989914285
164	0.3984156061
165	0.3979080369
166	0.3969079159
167	0.396224393
168	0.3958031566
169	0.394684402
170	0.394164288
171	0.3934841075
172	0.392764724
173	0.3921423429
174	0.3914943898
175	0.3906860484
176	0.3899219957
177	0.3894695346
178	0.3886978019
179	0.3882363185
180	0.3875168873
181	0.3869017138
182	0.3864234747
183	0.3859108463
184	0.3853482211
185	0.3844846746
186	0.3839408638
187	0.3835147823
188	0.3827650935
189	0.3823741481
190	0.3816776546
191	0.381113913
192	0.380501748
193	0.3800649182
194	0.3793837261
195	0.3790401388
196	0.3780320313
197	0.3774886175
198	0.3770421889
199	0.376616755
200	0.3761378203
201	0.3754031064
202	0.3746711927
203	0.3740782523
204	0.3732011757
205	0.3729392755
206	0.3725213493
207	0.3718951819
208	0.37128435
209	0.370812389
210	0.3702934295
211	0.3696882519
212	0.3691999065
213	0.3687248641
214	0.3682496849
215	0.3677950455
216	0.3673799503
217	0.366939063
218	0.3664288979
219	0.3659781708
220	0.3652935373
221	0.3648393748
222	0.3642640072
223	0.3638160947
224	0.3630694699
225	0.3627250479
226	0.3620218169
227	0.361585211
228	0.3613025935
229	0.3607907657
230	0.360396913
231	0.3598734331
232	0.359473412
233	0.35916497
234	0.358860233
235	0.3583668567
236	0.3578992642
237	0.3574688178
238	0.3568483021
239	0.3561759044
240	0.3557903691
241	0.3554780673
242	0.3549592
243	0.3546227805
244	0.354321288
245	0.3540312049
246	0.3535251653
247	0.3531321598
248	0.3528855973
249	0.3525710985
250	0.3519663609
251	0.3514758234
252	0.3509984369
253	0.3505336472
254	0.3502441933
255	0.3498159339
